rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.17,0.22,94.7
2,3,Liverpool,Barclays Premier League,2.81,0.21,93.05
3,4,Barcelona,Spanish Primera Division,3.25,0.39,92.97
4,2,Bayern Munich,German Bundesliga,3.17,0.39,92.54
5,5,Paris Saint-Germain,French Ligue 1,3.03,0.45,90.9
6,8,Real Madrid,Spanish Primera Division,2.74,0.53,87.26
7,7,Juventus,Italy Serie A,2.46,0.44,86.34
8,6,Atletico Madrid,Spanish Primera Division,2.11,0.28,85.82
9,10,Chelsea,Barclays Premier League,2.45,0.48,85.31
10,9,Ajax,Dutch Eredivisie,2.98,0.93,82.79
11,12,Tottenham Hotspur,Barclays Premier League,2.34,0.55,82.61
12,11,Napoli,Italy Serie A,2.23,0.51,82.32
13,14,Valencia,Spanish Primera Division,2.12,0.46,81.94
14,13,Sevilla FC,Spanish Primera Division,2.41,0.65,81.44
15,18,Arsenal,Barclays Premier League,2.42,0.67,81.33
16,15,Borussia Dortmund,German Bundesliga,2.4,0.65,81.3
17,17,Manchester United,Barclays Premier League,2.36,0.66,80.69
18,21,Getafe,Spanish Primera Division,1.9,0.41,79.96
19,20,RB Leipzig,German Bundesliga,2.07,0.52,79.76
20,19,Internazionale,Italy Serie A,2.16,0.58,79.74
21,16,Eibar,Spanish Primera Division,2.19,0.62,79.32
22,24,FC Porto,Portuguese Liga,2.21,0.63,79.3
23,23,Olympiacos,Greek Super League,2.33,0.74,78.53
24,22,Atalanta,Italy Serie A,2.31,0.75,78.1
25,26,Benfica,Portuguese Liga,2.26,0.73,77.91
26,28,Athletic Bilbao,Spanish Primera Division,1.87,0.48,77.87
27,25,Bayer Leverkusen,German Bundesliga,2.31,0.78,77.48
28,36,Eintracht Frankfurt,German Bundesliga,2.18,0.71,77.21
29,27,PAOK Salonika,Greek Super League,2.21,0.73,77.19
30,29,PSV,Dutch Eredivisie,2.43,0.88,77.12
31,39,FC Salzburg,Austrian T-Mobile Bundesliga,2.4,0.88,76.66
32,30,Real Sociedad,Spanish Primera Division,2.01,0.62,76.58
33,32,Lazio,Italy Serie A,2.03,0.64,76.55
34,34,TSG Hoffenheim,German Bundesliga,2.5,1.01,75.49
35,38,Young Boys,Swiss Raiffeisen Super League,2.29,0.89,74.75
36,31,AC Milan,Italy Serie A,1.88,0.62,74.72
37,35,Lyon,French Ligue 1,2.19,0.84,74.43
38,37,AS Roma,Italy Serie A,2.24,0.88,74.2
39,44,Girona FC,Spanish Primera Division,1.99,0.71,74.18
40,33,Leganes,Spanish Primera Division,1.77,0.56,74.13
41,40,Villarreal,Spanish Primera Division,2.04,0.76,73.93
42,43,CSKA Moscow,Russian Premier Liga,1.72,0.55,73.53
43,55,Galatasaray,Turkish Turkcell Super Lig,2.2,0.93,72.58
